"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Dylan Borrero","NER","2024","W","1047","525","79.8%","78.5%","7.16","1.36","19.53","0.78","6.0%","17"
"","David Brekalo","ORL","2024","CB","1330","622","85.2%","84.1%","7.05","1.13","21.10","7.86","5.9%","19"
"","Gerardo Valenzuela","CIN","2024","ST","1140","386","82.1%","80.3%","7.03","1.82","17.16","0.18","2.9%","30"
"","Jesús Murillo","LAFC","2024","CB","1922","891","83.3%","82.5%","7.00","0.79","23.32","8.41","8.2%","22"
"","Kerwin Vargas","CLT","2024","W","2713","817","73.4%","72.6%","6.98","0.85","18.47","0.55","6.0%","33"
"","Jordan Morris","SEA","2024","ST","3084","660","75.6%","74.6%","6.94","1.05","13.94","-1.35","4.2%","34"
"","Xande Silva","ATL","2024","W","1589","508","80.3%","79.0%","6.89","1.36","16.61","-0.72","5.6%","23"
"","Nathan Byrne","CLT","2024","FB","3168","1582","79.3%","78.9%","6.89","0.44","20.88","5.06","10.7%","31"
"","Ján Greguš","HOU","2024","DM","429","320","91.6%","89.4%","6.87","2.15","18.28","2.37","6.6%","7"
"","Žan Kolmanič","ATX","2024","FB","619","344","76.2%","74.2%","6.85","1.99","23.17","1.23","4.5%","15"
"","Tomas Ostrak","STL","2024","DM","765","333","85.6%","83.5%","6.80","2.04","18.85","3.21","6.5%","12"
"","Tim Ream","CLT","2024","FB","883","517","86.9%","85.5%","6.79","1.31","22.99","7.20","11.3%","9"
"","Mitja Ilenic","NYC","2024","FB","1671","859","73.6%","72.8%","6.77","0.79","18.01","5.20","6.9%","23"
"","Patrick Schulte","CLB","2024","GK","2766","945","81.3%","80.6%","6.67","0.71","30.07","22.23","5.2%","27"
"","Tobias Salquist","CHI","2024","CB","1041","651","88.3%","87.3%","6.66","1.02","20.93","6.88","8.2%","14"
"","Nick Hagglund","CIN","2024","CB","510","291","82.1%","79.8%","6.64","2.28","20.76","8.02","5.1%","10"
"","Dylan Chambost","CLB","2024","CM","628","483","84.7%","83.3%","6.50","1.35","19.96","2.12","7.5%","10"
"","Jayden Reid","STL","2024","FB","846","353","78.8%","76.9%","6.50","1.84","19.49","4.15","6.7%","12"
"","Roman Celentano","CIN","2024","GK","3089","871","78.4%","77.7%","6.27","0.72","31.17","22.84","5.0%","30"
"","Alonso Coello","TOR","2024","CM","1696","1195","85.0%","84.5%","6.19","0.52","21.00","5.61","8.4%","25"
"","Andrés Perea","NYC","2024","DM","1446","566","80.6%","79.5%","5.98","1.06","16.05","3.10","4.1%","28"
"","Bret Halsey","CIN","2024","FB","611","327","81.7%","79.8%","5.98","1.83","17.51","-1.04","2.8%","21"
